technology,year,e3genmod,postapril
Bio,2016,0,0
Bio,2017,0,0
Bio,2018,0,0
Bio,2019,0,0
Bio,2020,0,0
Bio,2021,0,0
Bio,2022,0,0
Bio,2023,0,0
Bio,2024,0,0
Bio,2025,0,0
Bio,2026,0,0
Bio,2027,0,20
Bio,2028,0,20
Bio,2029,0,20
Bio,2030,0,20
Bio,2031,0,20
Bio,2032,0,20
Bio,2033,0,20
Bio,2034,0,20
Bio,2035,0,20
Bio,2036,0,20
Bio,2037,0,20
Bio,2038,0,20
Bio,2039,0,20
Bio,2040,10.25,20
Bio,2041,10.25,20
Bio,2042,10.25,20
Bio,2043,10.25,20
Bio,2044,10.25,20
Bio,2045,169.9,203.7
DER,2016,90.674616,90.674616
DER,2017,112.415216,112.415216
DER,2018,115.977216,115.977216
DER,2019,120.089216,120.089216
DER,2020,123.959116,123.959116
DER,2021,127.753116,127.753116
DER,2022,140.3447655,140.3447655
DER,2023,154.476278,154.476278
DER,2024,168.6137905,168.6137905
DER,2025,182.745303,182.745303
DER,2026,196.8768155,196.8768155
DER,2027,211.008328,211.008328
DER,2028,225.1458405,225.1458405
DER,2029,239.277353,239.277353
DER,2030,253.4088655,253.4088655
DER,2031,267.5404455,267.5404455
DER,2032,281.6779581,281.6779581
DER,2033,295.809403,295.809403
DER,2034,309.9409156,309.9409156
DER,2035,324.0724281,324.0724281
DER,2036,338.2099406,338.2099406
DER,2037,352.3414531,352.3414531
DER,2038,366.4729656,366.4729656
DER,2039,380.6044781,380.6044781
DER,2040,394.7419906,394.7419906
DER,2041,408.8735706,408.8735706
DER,2042,423.0050831,423.0050831
DER,2043,437.1365956,437.1365956
DER,2044,451.2741081,451.2741081
DER,2045,465.4056206,465.4056206
Fossil,2016,232.7,232.7
Fossil,2017,232.7,232.7
Fossil,2018,232.7,232.7
Fossil,2019,232.7,232.7
Fossil,2020,183.7,232.7
Fossil,2021,183.7,232.7
Fossil,2022,183.7,232.7
Fossil,2023,183.7,232.7
Fossil,2024,183.7,232.7
Fossil,2025,183.7,217.2
Fossil,2026,183.7,217.2
Fossil,2027,183.7,203.7
Fossil,2028,183.7,203.7
Fossil,2029,183.7,203.7
Fossil,2030,183.7,183.7
Fossil,2031,183.7,183.7
Fossil,2032,183.7,183.7
Fossil,2033,183.7,183.7
Fossil,2034,183.7,183.7
Fossil,2035,183.7,183.7
Fossil,2036,183.7,183.7
Fossil,2037,183.7,183.7
Fossil,2038,183.7,183.7
Fossil,2039,183.7,183.7
Fossil,2040,169.9,183.7
Fossil,2041,169.9,183.7
Fossil,2042,169.9,183.7
Fossil,2043,169.9,183.7
Fossil,2044,169.9,183.7
Fossil,2045,0,0
PV,2016,0,0
PV,2017,0,0
PV,2018,1,1
PV,2019,1,1
PV,2020,1,1
PV,2021,1,1
PV,2022,1,1
PV,2023,1,1
PV,2024,1,1
PV,2025,1,1
PV,2026,1,1
PV,2027,1,1
PV,2028,1,1
PV,2029,1,1
PV,2030,1,1
PV,2031,1,1
PV,2032,1,1
PV,2033,1,1
PV,2034,1,1
PV,2035,1,1
PV,2036,1,1
PV,2037,1,1
PV,2038,1,1
PV,2039,1,1
PV,2040,1,1
PV,2041,1,1
PV,2042,1,1
PV,2043,1,1
PV,2044,1,1
PV,2045,1,1
Wind,2016,34.5,34.5
Wind,2017,34.5,34.5
Wind,2018,36.5,36.5
Wind,2019,36.5,36.5
Wind,2020,56.5,56.5
Wind,2021,56.5,56.5
Wind,2022,106.5,56.5
Wind,2023,106.5,56.5
Wind,2024,106.5,56.5
Wind,2025,106.5,56.5
Wind,2026,106.5,56.5
Wind,2027,106.5,56.5
Wind,2028,106.5,56.5
Wind,2029,106.5,56.5
Wind,2030,106.5,76.5
Wind,2031,106.5,76.5
Wind,2032,106.5,76.5
Wind,2033,106.5,76.5
Wind,2034,106.5,76.5
Wind,2035,106.5,76.5
Wind,2036,106.5,76.5
Wind,2037,106.5,76.5
Wind,2038,106.5,76.5
Wind,2039,106.5,76.5
Wind,2040,106.5,76.5
Wind,2041,106.5,76.5
Wind,2042,106.5,76.5
Wind,2043,106.5,76.5
Wind,2044,106.5,76.5
Wind,2045,136.5,76.5
Hydro,2016,16.71,16.71
Hydro,2017,16.71,16.71
Hydro,2018,17.51,17.51
Hydro,2019,17.51,17.51
Hydro,2020,17.51,17.51
Hydro,2021,17.51,17.51
Hydro,2022,17.51,17.51
Hydro,2023,17.51,17.51
Hydro,2024,17.51,17.51
Hydro,2025,17.51,17.51
Hydro,2026,17.51,17.51
Hydro,2027,17.51,17.51
Hydro,2028,17.51,17.51
Hydro,2029,17.51,17.51
Hydro,2030,17.51,17.51
Hydro,2031,17.51,17.51
Hydro,2032,17.51,17.51
Hydro,2033,17.51,17.51
Hydro,2034,17.51,17.51
Hydro,2035,17.51,17.51
Hydro,2036,17.51,17.51
Hydro,2037,17.51,17.51
Hydro,2038,17.51,17.51
Hydro,2039,17.51,17.51
Hydro,2040,17.51,17.51
Hydro,2041,17.51,17.51
Hydro,2042,17.51,17.51
Hydro,2043,17.51,17.51
Hydro,2044,17.51,17.51
Hydro,2045,17.51,17.51
Geo,2016,38,38
Geo,2017,38,38
Geo,2018,38,38
Geo,2019,38,38
Geo,2020,38,38
Geo,2021,38,38
Geo,2022,38,38
Geo,2023,38,38
Geo,2024,38,38
Geo,2025,38,58
Geo,2026,38,58
Geo,2027,38,58
Geo,2028,38,58
Geo,2029,38,58
Geo,2030,38,78
Geo,2031,38,78
Geo,2032,38,78
Geo,2033,38,78
Geo,2034,38,78
Geo,2035,38,78
Geo,2036,38,78
Geo,2037,38,78
Geo,2038,38,78
Geo,2039,38,78
Geo,2040,38,78
Geo,2041,38,78
Geo,2042,38,78
Geo,2043,38,78
Geo,2044,38,78
Geo,2045,38,78
